19,1440,900,60,0,0,0,999,999,11534,8996,0,0,0,0
20,1600,900,30,0,0,0,999,999,7816,6096,0,0,0,0
21,1600,900,60,0,0,0,999,999,12505,9753,0,0,0,0
22,1600,1200,30,0,0,0,999,999,10292,8027,0,0,0,0
23,1600,1200,60,0,0,0,999,999,16467,12844,0,0,0,0
24,1680,1024,30,0,0,0,999,999,9164,7147,0,0,0,0
25,1680,1024,60,0,0,0,999,999,14662,11436,0,0,0,0
26,1680,1050,30,0,0,0,999,999,9342,7286,0,0,0,0
27,1680,1050,60,0,0,0,999,999,14947,11658,0,0,0,0
28,1920,1200,30,0,0,0,999,999,11838,9233,0,0,0,0
29,1920,1200,60,0,0,0,999,999,18940,14773,0,0,0,0
30,2560,1440,30,0,0,0,999,999,16981,13075,0,0,0,0
31,2560,1440,60,0,0,0,999,999,27169,20920,0,0,0,0
32,2560,1600,30,0,0,0,999,999,18412,14177,0,0,0,0
33,2560,1600,60,0,0,0,999,999,29459,22683,0,0,0,0
,,,,,,,,,,,,,,
## HH  Resolution,,,,,,,,,,,,,,
index,width,height,framesPerSecond,interlaced,codec support,racing support,H264 maximum level,H265 maximum level,H264 bitrate (kbps),H265 bitrate (kbps),H264 min-slice-size,H264 slice count,H265 min-slice-size,H265 slice count
0,800,480,30,0,0,0,999,999,2524,1968,0,0,0,0
1,800,480,60,0,0,0,999,999,4038,3149,0,0,0,0
2,854,480,30,0,0,0,999,999,2678,2088,0,0,0,0
3,854,480,60,0,0,0,999,999,4284,3341,0,0,0,0
4,864,480,30,0,0,0,999,999,2678,2088,0,0,0,0
5,864,480,60,0,0,0,999,999,4284,3341,0,0,0,0
6,640,360,30,0,0,0,999,999,1734,1352,0,0,0,0
7,640,360,60,0,0,0,999,999,2774,2163,0,0,0,0
8,960,540,30,0,0,0,999,999,3196,2492,0,0,0,0
9,960,540,60,0,0,0,999,999,5113,3988,0,0,0,0
10,848,480,30,0,0,0,999,999,2640,2059,0,0,0,0
11,848,480,60,0,0,0,999,999,4224,3294,0,0,0,0
,,,,,,,,,,,,,,
### transcoding mode codec profile capability config,,,,,,,,,,,,,,
# column <H264 profile> = enum ProfileH264Type or enum Profile10BitType + 8 (number of ProfileH264Type),,,,,,,,,,,,,,
# column <H265 profile> = enum ProfileH265Type or enum Profile10BitType + 6 (number of ProfileH265Type),,,,,,,,,,,,,,
# column <priority 999 means Not Support>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
## transcoding mode H264 profile,,,,,,,,,,,,,,
H264 profile,support (common),priority (common),support (slice encode on),priority (slice encode on),,,,,,,,,,
0,1,4,0,999,,,,,,,,,,
1,1,3,0,999,,,,,,,,,,
2,1,2,1,2,,,,,,,,,,
6,0,999,0,999,,,,,,,,,,
8,1,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,
## transcoding mode H265 profile,,,,,,,,,,,,,,
H265 profile,support (common),priority (common),support (slice encode on),priority (slice encode on),,,,,,,,,,
0,1,2,1,2,,,,,,,,,,
2,0,999,0,999,,,,,,,,,,
4,0,999,0,999,,,,,,,,,,
5,0,999,0,999,,,,,,,,,,
7,1,1,1,1,,,,,,,,,,
